1976,1,1,18,-250,-290,10034,160,31,0,-9999,-9999,010040-99999
1976,1,7,12,-190,-200,9986,0,0,7,-9999,-9999,010040-99999
1976,1,9,12,-170,-180,9938,300,26,6,-9999,-9999,010040-99999
1976,1,20,12,-110,-130,9716,0,0,8,-9999,-9999,010040-99999
1976,1,21,12,-20,-60,9759,130,108,7,-9999,-9999,010040-99999
1976,1,22,12,-110,-170,9921,130,88,2,-9999,-9999,010040-99999
1976,2,3,12,-140,-180,10220,140,31,0,-9999,-9999,010040-99999
1976,2,5,12,-50,-70,9989,100,82,8,-9999,-9999,010040-99999
1976,2,6,6,-20,-30,9869,130,62,8,-9999,-9999,010040-99999
1976,2,8,15,100,-470,10009,300,103,6,-9999,-9999,010040-99999
1976,2,9,12,20,10,9879,0,0,8,-9999,-9999,010040-99999
1976,2,18,12,-220,-240,9974,0,0,3,-9999,-9999,010040-99999
1976,2,20,12,-190,-230,10282,160,46,7,-9999,-9999,010040-99999
1976,2,29,18,-270,-290,10122,0,0,1,-9999,-9999,010040-99999
1976,4,16,12,10,-30,9878,100,31,8,-9999,-9999,010040-99999
1976,4,21,6,10,0,10081,350,31,8,-9999,-9999,010040-99999
1976,5,5,18,-40,-100,10257,0,0,0,-9999,-9999,010040-99999
1976,5,10,12,-10,-60,10083,80,41,0,-9999,-9999,010040-99999
1976,5,17,6,20,10,10247,0,0,8,-9999,-9999,010040-99999
1976,6,10,12,40,20,10190,100,21,8,-9999,-9999,010040-99999
1976,6,14,12,20,10,10172,0,0,9,-9999,-9999,010040-99999
1976,7,2,12,40,30,10028,60,21,8,-9999,-9999,010040-99999
1976,7,8,12,80,20,10142,110,36,3,-9999,-9999,010040-99999
1976,7,26,6,50,30,9964,0,0,5,-9999,-9999,010040-99999
1976,10,6,18,20,10,10175,110,51,6,-9999,-9999,010040-99999
1976,10,19,18,-40,-90,10151,120,67,9,-9999,-9999,010040-99999
1976,10,29,18,-40,-50,10097,170,5,9,-9999,-9999,010040-99999
1976,11,8,12,-150,-210,10127,120,62,1,-9999,-9999,010040-99999
1976,11,18,12,-50,-60,9948,310,41,9,-9999,-9999,010040-99999
1976,11,19,12,-110,-130,10100,0,0,8,-9999,-9999,010040-99999
